tabela,rls_habilitada,rls_forcada,politicas,privilegios_tabela_anon,privilegios_tabela_authenticated
financeiro_obra,true,false,"[{""nome"":""Atualizar financeiro das próprias obras"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(EXISTS ( SELECT 1\n   FROM projetos\n  WHERE ((projetos.id = financeiro_obra.projeto_id) AND (projetos.user_id = auth.uid()))))"",""operacao"":""UPDATE"",""with_check"":null},{""nome"":""Deletar financeiro das próprias obras"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(EXISTS ( SELECT 1\n   FROM projetos\n  WHERE ((projetos.id = financeiro_obra.projeto_id) AND (projetos.user_id = auth.uid()))))"",""operacao"":""DELETE"",""with_check"":null},{""nome"":""Inserir financeiro nas próprias obras"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":null,""operacao"":""INSERT"",""with_check"":""(EXISTS ( SELECT 1\n   FROM projetos\n  WHERE ((projetos.id = financeiro_obra.projeto_id) AND (projetos.user_id = auth.uid()))))""},{""nome"":""Ver financeiro das próprias obras"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(EXISTS ( SELECT 1\n   FROM projetos\n  WHERE ((projetos.id = financeiro_obra.projeto_id) AND (projetos.user_id = auth.uid()))))"",""operacao"":""SELECT"",""with_check"":null}]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]"
funcionarios,true,false,"[{""nome"":""Atualizar próprios funcionários"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(auth.uid() = user_id)"",""operacao"":""UPDATE"",""with_check"":null},{""nome"":""Deletar próprios funcionários"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(auth.uid() = user_id)"",""operacao"":""DELETE"",""with_check"":null},{""nome"":""Inserir próprios funcionários"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":null,""operacao"":""INSERT"",""with_check"":""(auth.uid() = user_id)""},{""nome"":""Ver próprios funcionários"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(auth.uid() = user_id)"",""operacao"":""SELECT"",""with_check"":null}]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]"
materiais_projeto,true,false,"[{""nome"":""Permitir atualizar preco do material"",""tipo"":""PERMISSIVE"",""roles"":[""authenticated""],""using"":""true"",""operacao"":""UPDATE"",""with_check"":""true""},{""nome"":""Usuários podem deletar seus próprios materiais"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(auth.uid() = user_id)"",""operacao"":""DELETE"",""with_check"":null},{""nome"":""Usuários podem inserir seus próprios materiais"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":null,""operacao"":""INSERT"",""with_check"":""(auth.uid() = user_id)""},{""nome"":""Usuários podem ver seus próprios materiais"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(auth.uid() = user_id)"",""operacao"":""SELECT"",""with_check"":null}]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]"
projetos,true,false,"[{""nome"":""Usuários podem criar seus próprios projetos"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":null,""operacao"":""INSERT"",""with_check"":""(auth.uid() = user_id)""},{""nome"":""Usuários podem deletar seus próprios projetos"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(auth.uid() = user_id)"",""operacao"":""DELETE"",""with_check"":null},{""nome"":""Usuários podem ver seus próprios projetos"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(auth.uid() = user_id)"",""operacao"":""SELECT"",""with_check"":null}]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]"
tarefas,true,false,"[{""nome"":""Usuários podem atualizar tarefas dos seus projetos"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(EXISTS ( SELECT 1\n   FROM projetos\n  WHERE ((projetos.id = tarefas.projeto_id) AND (projetos.user_id = auth.uid()))))"",""operacao"":""UPDATE"",""with_check"":null},{""nome"":""Usuários podem inserir tarefas nos seus projetos"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":null,""operacao"":""INSERT"",""with_check"":""(EXISTS ( SELECT 1\n   FROM projetos\n  WHERE ((projetos.id = tarefas.projeto_id) AND (projetos.user_id = auth.uid()))))""},{""nome"":""Usuários podem ver tarefas dos seus projetos"",""tipo"":""PERMISSIVE"",""roles"":[""public""],""using"":""(EXISTS ( SELECT 1\n   FROM projetos\n  WHERE ((projetos.id = tarefas.projeto_id) AND (projetos.user_id = auth.uid()))))"",""operacao"":""SELECT"",""with_check"":null}]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]","[""SELECT"",""INSERT"",""UPDATE"",""DELETE"",""TRUNCATE"",""REFERENCES"",""TRIGGER""]"
